 카드사용내역서(02/23∼03/01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 카드번호 , 5585-2694-4961-**** ,, 개인용도 , - ,," 759,270 ", 비 고 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 사  용 자 , 배 명 수(본촌배수지) ,, 공적용도 ," 759,270 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*사용내역*,,,,,,,,,,복리후생비,,,,,,잡자재,안전관리비,차량수리비,유류대,,,여비교통비,,통신비,,사무비,,,,,현장전도금,,예비비, 합   계 ,
 날    짜 , 현장명 , 항    목 , 세부사용내역 , 카   드 , 현   금 , 합계금액 , 비 고 , 확 인 ,,직원식대,간식외,회식대,침구구입비,숙소월대,소모품비,공구외,용품외,엔진오일외,소장,직원,발전기외,출장비,하이패스,등기비,"택배,수화물",사무용품비,책상의자,"토너,잉크",복사제본,복사용지,현장전도금,판공비," 민원,보상 ",,
2024-07-05, 본촌배수지 , 복리후생비 , a3산타케이스외 ," 58,600 ",," 58,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,, - ,"-58,600 "
2024-07-05, 본촌배수지 , 복리후생비 , 중식(직원1) ," 22,000 ",," 22,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,, - ,"-22,000 "
2024-07-05, 본촌배수지 , 복리후생비 , 석식 ," 9,800 ",," 9,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,, - ,"-9,800 "
2024-07-06, 본촌배수지 , 복리후생비 , 조식 ," 10,000 ",," 10,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,, - ,"-10,000 "
2024-07-06, 본촌배수지 , 복리후생비 , 배명수차량(군산) ," 80,000 ",," 80,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,, - ,"-80,000 "
2024-07-06, 본촌배수지 , 복리후생비 , 중식(군산직원1) ," 20,000 ",," 20,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,, - ,"-20,000 "
2024-07-06, 본촌배수지 , 복리후생비 , 석식(군산직원1) ," 20,900 ",," 20,900 ",,,,,,,,,,,,,,,,,,,,,,,,,,,, - ,
2024-07-08, 본촌배수지 , 복리후생비 ," 중식(감리단,직원8명) "," 166,000 ",," 166,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,, - ,"-166,000 "
2024-07-08, 본촌배수지 , 복리후생비 , 석식 ," 14,100 ",," 14,100 ",,,,,,,,,,,,,,,,,,,,,,,,,,,, - ,
2024-07-09, 본촌배수지 , 복리후생비 , 조식 ," 6,950 ",," 6,950 ",,,,,,,,,,,,,,,,,,,,,,,,,,,, - ,
2024-07-09, 본촌배수지 , 복리후생비 , 조식 ," 10,000 ",," 10,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,, - ,
2024-07-09, 본촌배수지 , 복리후생비 , 중식(직원1) ," 21,000 ",," 21,000 ",,,,,,,,,,,,," 21,000 ",,,,,,,,,,,,,,," 21,000 ",
2024-07-09, 본촌배수지 , 유류대 , 이윤선차량 ," 126,000 ",," 126,000 ",,,,,,,,,,,,,,," 126,000 ",,,,,,,,,,,,," 126,000 ",
2024-07-09, 본촌배수지 , 복리후생비 , 석식 ," 10,150 ",," 10,150 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-10, 본촌배수지 , 복리후생비 , 조식직원3) ," 23,700 ",," 23,700 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-10, 본촌배수지 , 유류대 , 배명수차량 ," 90,000 ",," 90,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-10, 본촌배수지 , 복리후생비 ," 중식(감리단,직원6) "," 85,000 ",," 85,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-10, 본촌배수지 , 복리후생비 , 석식 ," 12,100 ",," 12,100 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-11, 본촌배수지 , 복리후생비 , 중식(직원4) ," 42,000 ",," 42,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-12, 본촌배수지 , 복리후생비 , 음료 ," 13,700 ",," 13,700 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-12, 본촌배수지 , 유류대 , 성현민차량 ," 114,000 ",," 114,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-12, 본촌배수지 , 복리후생비 , 석식 ," 15,800 ",," 15,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-13, 본촌배수지 , 복리후생비 , 중식(직원2) ," 20,000 ",," 20,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15, 본촌배수지 , 복리후생비 , 조식(직원3) ," 21,600 ",," 21,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15, 본촌배수지 , 복리후생비 , 중식(직원4) ," 40,000 ",," 40,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15, 본촌배수지 , 복리후생비 ," 석식(감리단,직원7) "," 103,000 ",," 103,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15, 본촌배수지 , 복리후생비 ," 석식(감리단,직원7) "," 105,000 ",," 105,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15, 본촌배수지 , 복리후생비 ," 석식(감리단,직원7) "," 65,000 ",," 65,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15, 본촌배수지 , 복리후생비 ," 석식(감리단,직원7) "," 16,000 ",," 16,000 ",,,," 16,000 ",,,,,,,,,,,,,,,,,,,,,,,," 16,000 ",
2024-07-29, 본촌배수지 , 복리후생비 , 음료 ," 8,000 ",," 8,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01, 본촌배수지 , 유류대 , 정상훈기름 ," 49,056 ",," 49,056 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-02, 본촌배수지 , 복리후생비 , 안전망(이사) ," 37,400 ",," 37,400 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-02, 본촌배수지 , 복리후생비 , 음료등(이사) ," 22,050 ",," 22,050 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05, 본촌배수지 , 복리후생비 ," 모니터(정상훈),하드등 "," 370,000 ",," 370,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05, 본촌배수지 , 복리후생비 ," 햇반,라면등 "," 70,800 ",," 70,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-06, 본촌배수지 , 복리후생비 , 1층품질실험실에어컨수리 ," 183,700 ",," 183,700 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-06, 본촌배수지 , 복리후생비 ," 중식(발주처,감리단등11명) "," 130,000 ",," 130,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-06, 본촌배수지 , 복리후생비 ," 파티션,안전각등 "," 231,000 ",," 231,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-06, 본촌배수지 , 복리후생비 , 소장단회의 음료 ," 20,800 ",," 20,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07, 본촌배수지 , 복리후생비 , 조식 ," 20,500 ",," 20,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07, 본촌배수지 , 복리후생비 ," 락카,장갑등(시공측량) "," 110,000 ",," 110,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07, 본촌배수지 , 복리후생비 , 중식(직원3명) ," 26,000 ",," 26,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07, 본촌배수지 , 복리후생비 , 석식(감리단등6명) ," 145,000 ",," 145,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-08, 본촌배수지 , 복리후생비 , 신호봉 ," 6,500 ",," 6,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-08, 본촌배수지 , 복리후생비 , 중식(감리단등7명) ," 110,000 ",," 110,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09, 본촌배수지 , 유류대 , 성현민 차량 ," 105,000 ",," 105,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-10, 본촌배수지 , 복리후생비 ," 커피,락스등 "," 56,530 ",," 56,530 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12, 본촌배수지 , 복리후생비 , 조식 ," 16,100 ",," 16,100 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12, 본촌배수지 , 복리후생비 , 중식(직원3명) ," 19,500 ",," 19,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12, 본촌배수지 , 복리후생비 ," 파일,건전지,케이블등 "," 88,900 ",," 88,900 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12, 본촌배수지 , 복리후생비 , 이윤선차량 ," 108,000 ",," 108,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12, 본촌배수지 , 복리후생비 , 석식(직원3명) ," 86,000 ",," 86,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13, 본촌배수지 , 복리후생비 , 중식(직원4명) ," 36,000 ",," 36,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14, 본촌배수지 , 복리후생비 , 조식 ," 20,500 ",," 20,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14, 본촌배수지 , 복리후생비 ," 중식(감리단,직원등8명) "," 116,000 ",," 116,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14, 본촌배수지 , 복리후생비 , 홍진도장 ," 22,000 ",," 22,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-15, 본촌배수지 , 복리후생비 ," 라면,햇반음료등 "," 49,370 ",," 49,370 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16, 본촌배수지 , 복리후생비 ," 중식(직원,인부등10명) "," 77,000 ",," 77,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16, 본촌배수지 , 유류대 , 성현민차량 ," 111,000 ",," 111,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16, 본촌배수지 , 복리후생비 , 석식(직원2명) ," 26,000 ",," 26,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17, 본촌배수지 , 복리후생비 , 조식 ," 15,750 ",," 15,750 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17, 본촌배수지 , 복리후생비 , 중식(직원2명) ," 20,000 ",," 20,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17, 본촌배수지 , 차량수리비 , 배명수차량(오일) ," 80,000 ",," 80,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19, 본촌배수지 , 복리후생비 , 조식 ," 14,500 ",," 14,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19, 본촌배수지 , 복리후생비 , 중식(직원3명) ," 19,800 ",," 19,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19, 본촌배수지 , 복리후생비 , 도장(구일) ," 20,000 ",," 20,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19, 본촌배수지 , 복리후생비 , 도장(디케이) ," 20,000 ",," 20,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19, 본촌배수지 , 복리후생비 , 비산먼지 등록세 , 900 ,, 900 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19, 본촌배수지 , 복리후생비 , 특정공사 등록세 , 900 ,, 900 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19, 본촌배수지 , 복리후생비 , 쓰레기봉투(관급)등 ," 26,840 ",," 26,840 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20, 본촌배수지 , 복리후생비 , 등기부등본(배수지) ," 1,000 ",," 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20, 본촌배수지 , 복리후생비 , 등기부등본(배수지) ," 1,000 ",," 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20, 본촌배수지 , 복리후생비 , 등기부등본(배수지) ," 1,000 ",," 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20, 본촌배수지 , 복리후생비 , 등기부등본(배수지) ," 1,000 ",," 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20, 본촌배수지 , 복리후생비 , 등기부등본(배수지) ," 1,000 ",," 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20, 본촌배수지 , 복리후생비 , 등기부등본(배수지) ," 1,000 ",," 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20, 본촌배수지 , 복리후생비 , 등기부등본(배수지) ," 1,000 ",," 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20, 본촌배수지 , 복리후생비 , 등기부등본(배수지) ," 1,000 ",," 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20, 본촌배수지 , 복리후생비 , 등기부등본(배수지) ," 1,000 ",," 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-25, 본촌배수지 , 유류대 , 정상훈기름 ," 54,267 ",," 54,267 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-29, 본촌배수지 , 복리후생비 , 점심(직원2명) ," 26,000 ",," 26,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-29, 본촌배수지 , 복리후생비 , 음료 ," 9,400 ",," 9,400 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30, 본촌배수지 , 복리후생비 ," 점심(직원2,감리1) "," 33,000 ",," 33,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30, 본촌배수지 , 유류대 , 이윤선차량 ," 90,000 ",," 90,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-03, 본촌배수지 , 유류대 , 이윤선차량 ," 113,050 ",," 113,050 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-04, 본촌배수지 , 유류대 ," b/h10,6743 기름 "," 492,000 ",," 492,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-04, 본촌배수지 , 복리후생비 ," 음료,물등 "," 36,450 ",," 36,450 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-04, 본촌배수지 , 복리후생비 ," 파스,정제수등 "," 65,000 ",," 65,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-05, 본촌배수지 , 복리후생비 ," a4,a3용지 "," 148,650 ",," 148,650 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06, 본촌배수지 , 복리후생비 ," 결재판,배송렬도장 "," 38,000 ",," 38,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06, 본촌배수지 , 복리후생비 , 욕실화 ," 6,000 ",," 6,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06, 본촌배수지 , 복리후생비 ," 결제판,집게등 "," 75,900 ",," 75,900 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06, 본촌배수지 , 복리후생비 ," 저녁(직원2,스마트안전업체3) "," 157,000 ",," 157,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11, 본촌배수지 , 유류대 ," b/h10,6743 기름 "," 582,000 ",," 582,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11, 본촌배수지 , 유류대 ," b/h10,6743 요소수 "," 40,000 ",," 40,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12, 본촌배수지 , 유류대 , 이윤선차량 ," 113,000 ",," 113,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13, 본촌배수지 , 복리후생비 ," 중식(직원2,인부2) "," 28,000 ",," 28,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13, 본촌배수지 , 복리후생비 ," 생수,음료등 "," 54,000 ",," 54,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13, 본촌배수지 , 유류대 ," b/h10,6743 기름 "," 509,000 ",," 509,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13, 본촌배수지 , 유류대 ," b/h10,6743 요소수 "," 40,000 ",," 40,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-17, 본촌배수지 , 유류대 , 정상훈차량 ," 45,652 ",," 45,652 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-19, 본촌배수지 , 복리후생비 ," 중식(직원4,인부1) "," 35,000 ",," 35,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-19, 본촌배수지 , 복리후생비 ," 석식(직원2,감리3) "," 220,000 ",," 220,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-19, 본촌배수지 , 복리후생비 , 음료등 ," 28,000 ",," 28,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20, 본촌배수지 , 복리후생비 , 조식 ," 7,450 ",," 7,450 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20, 본촌배수지 , 복리후생비 ," 중식(직원4,감리3) "," 58,000 ",," 58,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-24, 본촌배수지 , 유류대 , 굴삭기10 기름 ," 585,000 ",," 585,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-24, 본촌배수지 , 유류대 , 굴삭기10 요소수 ," 40,000 ",," 40,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-24, 본촌배수지 , 유류대 , 이윤선차량 ," 104,000 ",," 104,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-25, 본촌배수지 , 차량수리비 , 1톤현장차량(브레이크수리) ," 305,800 ",," 305,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-25, 본촌배수지 , 유류대 , 성현민차량 ," 100,000 ",," 100,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-26, 본촌배수지 , 유류대 , 굴삭기10 기름 ," 674,000 ",," 674,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-26, 본촌배수지 , 유류대 , 굴삭기10 요소수 ," 20,000 ",," 20,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30, 본촌배수지 , 유류대 , 굴삭기10 기름 ," 550,000 ",," 550,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30, 본촌배수지 , 유류대 , 굴삭기10 요소수 ," 40,000 ",," 40,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-02, 본촌배수지 , 유류대 , 굴삭기10 기름 ," 528,000 ",," 528,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-02, 본촌배수지 , 유류대 , 굴삭기10 요소수 ," 40,000 ",," 40,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-03, 본촌배수지 , 복리후생비 ," 중식(직원1,인부2) "," 24,000 ",," 24,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-04, 본촌배수지 , 유류대 , 굴삭기10 기름 ," 455,000 ",," 455,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-04, 본촌배수지 , 유류대 , 굴삭기10 요소수 ," 40,000 ",," 40,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-04, 본촌배수지 , 복리후생비 , 시공측량 제본비 ," 20,000 ",," 20,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-04, 본촌배수지 , 복리후생비 , 현장1톤차량 워셔액보충 ," 8,000 ",," 8,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-04, 본촌배수지 , 유류대 , 성현민차량 ," 101,000 ",," 101,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-05, 본촌배수지 , 유류대 , 이윤선차량 ," 78,000 ",," 78,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-07, 본촌배수지 , 복리후생비 ," 현장회식(직원4,감리4) "," 160,000 ",," 160,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-07, 본촌배수지 , 복리후생비 ," 현장회식(직원4,감리4) "," 120,610 ",," 120,610 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-11, 본촌배수지 , 유류대 , 굴삭기10 기름 ," 580,000 ",," 580,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-11, 본촌배수지 , 유류대 , 굴삭기10 요소수 ," 40,000 ",," 40,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-11, 본촌배수지 , 유류대 , 성형민 차량 ," 99,000 ",," 99,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-12, 본촌배수지 , 복리후생비 , 중식(직원2) ," 26,000 ",," 26,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-12, 본촌배수지 , 복리후생비 , 음료등 ," 21,000 ",," 21,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14, 본촌배수지 , 유류대 , 굴삭기10 기름 ," 541,000 ",," 541,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14, 본촌배수지 , 유류대 , 굴삭기10 요소수 ," 40,000 ",," 40,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14, 본촌배수지 , 복리후생비 , 석식(군산시공업체) ," 137,000 ",," 137,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14, 본촌배수지 , 복리후생비 , 석식(군산시공업체) ," 5,000 ",," 5,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
